Date,ISOWeek,DOI,Version,Category,Title,Authors
2026-03-21,12,10.1101/2025.11.07.687167,2,neuroscience,Computational mechanisms for temporal integration in the anterior claustrum,"Sohn, K.; Yoon, D.; Lee, J.; Choi, S."
2026-03-21,12,10.64898/2026.01.28.702328,3,neuroscience,Dendritic delay lines shape the computation of sound location in neurons of the gerbil medial superior olive,"Casarez, J.; Voglewede, R.; Winters, B. D.; Ledford, K.; Golding, N."
2026-03-21,12,10.64898/2026.02.18.706661,2,bioengineering,Self-amplifying RNA-based CAR T cell therapy with enhanced duration and multi-genic logic functions,"Gu, Y.; Choi, J.; Mutha, D.; Wu, C.; Ganem, N. J.; Grinstaff, M.; Wong, W."
2026-03-21,12,10.64898/2026.03.09.710612,2,evolutionary biology,Evolution as Active Geometry: The Geometric State Equation of the Tree of Life,"Fenn, R.; Fenn, A."
2026-03-21,12,10.64898/2026.03.18.712441,2,genetics,The enhanced multi-tissue atlas of regulatory effects in cattle,"Li, H.; Zhang, H.; Zhu, D.; Zhao, P.; Wei, Z.; Lu, J.; Gong, M.; Zhang, Q.; Zheng, W.; Liu, X.; GUAN, D.; Teng, J.; Lin, Q.; Tang, Y.; Gao, Y.; Zhao, S.; Zhang, Z.; Du, J.; Fang, C.; An, B.; Lin, B.; Zhang, H.; Tian, M.; Tian, J.; Chen, S.; Liu, W.; Wang, Y.; Wang, M.-S.; Ibeagha-Awemu, E. M.; Crooijmans, R.; Derks, M.; Godia, M.; Madsen, O.; Pausch, H.; Leonard, A. S.; Frantz, L.; MacHugh, D. E.; Grady, J. F. O.; Ionita-Laza, I.; Zhao, X.; Guan, L.; Zhou, H.; Marmol-Sanchez, E.; van der Wijst, M.; Lu, X.; Jiang, H.; Yang, Z.; Yang, Q.; Liu, Q.; Xu, C.; Li, M.; Hou, Y.; Pan, Z.; Chen, Y.; Xian"
2026-03-21,12,10.64898/2026.03.20.713283,1,microbiology,"Dispersal, adaptation and persistence of H5N1 in the sub-Antarctic and Antarctica","Clessin, A.; Brusselmans, M.; Hong, S. L.; Tornos, J.; Lejeune, M.; Shao, Y.; Briand, F.-X.; Abolnik, C.; Kaza, B.; Suchard, M. A.; Aguado, B.; Alcami, A.; Barbraud, C.; Beer, M.; Bennison, A.; Bonadonna, F.; Bonnet, T.; Bost, C.-A.; Boucheron, S.; Bralet, T.; Catry, P.; Cleeland, J.; Connan, M.; Coombes, H. A.; Delord, K. C.; de Pasquale, C.; Dewar, M. L.; Dong, X. C.; Emerit, J.; Fischer, R.; Fountain-Jones, N.; Galimberti, F.; Gonzalez-Solis, J.; Guinet, C.; Gunn, C.; Gunther, A.; Iervolino, M.; James, J.; Ji, X.; Jonsen, I.; Jones, C.; Kuepfer, A.; Kuiken, T.; Lebohec, C.; Lisovski, S.; Zu"
2026-03-21,12,10.64898/2026.03.20.713152,1,microbiology,ApeA cleaves genomic RNA to defend against RNA phage infection,"Drobysheva, A.; Velasco Gomariz, M.; Ahmad, S.; Reichardt, S.; Hör, J."
2026-03-21,12,10.64898/2026.03.20.713012,1,microbiology,Three immunoregulatory signatures define non-productive HIV infection in CD4+ T memory stem cells,"Butta, G. M.; Alburquerque, B.; Kearns, C.; Hadas, Y.; VanDyck, M. W.; Scaglioni, S.; Pena, N.; Wong, H. T.; Levendosky, E.; Gleason, C.; Lin, X.; Manganaro, L.; Pinto, D.; Mulder, L. C. F.; Simon, V."
2026-03-21,12,10.64898/2026.03.19.712885,1,systems biology,FASTERCC: Accelerating Flux Consistency Testing and Context-Specific Reconstruction for Large-Scale Metabolic Network Models,"Pacheco, M.; Gonzalez, E.; Sauter, T."
2026-03-21,12,10.64898/2026.03.20.713289,1,neuroscience,Acceleration and Velocity Dissociate Temporal Phases of Postural Control in Rhesus Macaques,"Leavitt Brown, O. M. E.; Ramadan, B. A.; Cullen, K. E."
