Date,ISOWeek,DOI,Version,Category,Title,Authors
2026-03-28,13,10.1101/2024.04.29.591575,2,neuroscience,Non-microglial downregulation of PLCG2 impairs synaptic function and elicits Alzheimer disease-related hallmarks,"Coulon, A.; Rabiller, F.; Takalo, M.; Roy, A.; Pelletier, A.; Martiskainen, H.; Siedlecki-Wullich, D.; Lannette-Weimann, N.; Majernikova, N.; Grenon, A.; Gao, V.; Ehrardt, A.; Pernodet, A.; Lemaire, M.; Limoge, F.; Walle, P.; Mendes, T.; Guyot, K.; Lemeu, C.; Carvalho, L.-I.; Melo de Ferias, A. R.; Hulsman, M.; Najdek, C.; Freire-Regatillo, A.; Saha, O.; Amouyel, P.; Charbonnier, C.; Deleuze, J.-F.; Dols-Icardo, O.; Jeskanen, H.; Willman, R.-M.; Kuulasmaa, T.; Kurki, M.; Hardy, J.; Heikkinen, S.; Holstege, H.; Makinen, P.; Nicolas, G.; Mead, S.; Wagner, M.; Ramirez, A.; Rauramaa, T.; Palotie, "
2026-03-23,13,10.1101/2024.06.10.598229,2,genetics,Burden of rare pathogenic variants suggests disrupted cytoskeletal organisation in the pathogenesis of pulmonary fibrosis,"Bhatti, K.; Wang, D.; Fainberg, H.; Bordignon, A. A.; Ni, Y.; Liu, B.; John, A.; Allen, R.; Wain, L. V.; Johnson, S. R.; Maher, T. M.; Molyneaux, P. L.; Renzoni, E.; Saini, G.; Morris-Rosendahl, D.; Jenkins, R. G.; Stewart, I."
2026-03-25,13,10.1101/2024.06.11.598511,3,cell biology,Nuclear envelope rupture in cardiomyocytes orchestrates early transcriptomic changes and immune activation in LMNA-related dilated cardiomyopathy that are reversed by LINC complex disruption,"Zuela - Sopilniak, N.; Morival, J. L. P.; Ntekas, I.; Elpers, M. A.; Agarwal, R.; Henretta, S. J.; Odell, J.; De Vlaminck, I.; Lammerding, J."
2026-03-26,13,10.1101/2024.06.15.599139,6,neuroscience,Single cell landscape of sex differences in the different courses of multiple sclerosis,"Soler-Saez, I.; Gomez-Cabanes, B.; Grillo-Risco, R.; Galiana-Rosello, C.; Barea-Moya, L.; Carceller, H.; Dolader-Rabinad, B.; del Rey-Diez, N.; Casanova-Ferrer, F.; Gordillo-Gonzalez, F.; Yanguas-Casas, N.; Palero-Renart, P.; Salvador-Guerrero, S.; Garcia-Rodriguez, C. I.; de la Iglesia-Vaya, M.; Gil-Perotin, S.; Tepavcevic, V.; Hidalgo, M. R.; Garcia-Garcia, F."
2026-03-24,13,10.1101/2024.06.17.599267,2,neuroscience,Mapping the spatiotemporal continuum of structural connectivity development across the human connectome in youth,"Xu, X.; Yang, H.; Cong, J.; Xu, H.; Kai, J.; Zhao, S.; Li, Y.; Shou, H.; Wang, K.; Sydnor, V. J.; Xu, T.; Yeh, F.-C.; Cui, Z."
2026-03-25,13,10.1101/2024.06.20.599931,6,neuroscience,Hybrid spatial organization and magnitude-independent neural coding of linguistic information during sentence production,"Morgan, A. M.; Devinsky, O.; Doyle, W.; Dugan, P.; Friedman, D.; Flinker, A."
2026-03-23,13,10.1101/2024.07.11.603162,3,neuroscience,Sarm1 Gates the Transition from Protective to Repair Schwann Cell States Following Nerve Injury,"Stepanova, E.; Hunter-Chang, S.; Lee, J.; Tripathi, A.; Pavelec, C. M.; Cho, C.; Vegiraju, T.; Guo, J.; Kim-Aun, C.; Kucenas, S.; Leitinger, N.; Coutinho-Budd, J.; Campbell, J. N.; Deppmann, C."
2026-03-25,13,10.1101/2024.07.17.603867,2,evolutionary biology,Double Trouble: Multiple infections and the coevolution of virulence and resistance in nested host-parasite populations,"LOMBARD, J. D.; Massol, F.; Lion, S."
2026-03-25,13,10.1101/2024.07.21.604448,2,systems biology,VIOLIN: A modular framework for scalable reconciliation of heterogeneous interaction graphs,"Luo, H.; Hansen, C. E.; Arazkhani, N.; Telmer, C. A.; Tang, D.; Zhou, G.; Spirtes, P.; Miskov-Zivanov, N."
2026-03-28,13,10.1101/2024.07.21.604448,3,systems biology,VIOLIN: A modular framework for scalable reconciliation of heterogeneous interaction graphs,"Luo, H.; Hansen, C. E.; Arazkhani, N.; Telmer, C. A.; Tang, D.; Zhou, G.; Spirtes, P.; Miskov-Zivanov, N."
2026-03-27,13,10.1101/2024.08.06.606599,2,biochemistry,ThermoTargetMiner Charts the Proteome-Wide Target Landscape of Lung Cancer Therapeutics,"Lyu, H.; Gharibi, H.; Sokolova, B.; Varli, M.; Voiland, A.; Nilsson, B.; Meng, Z.; Gaetani, M.; Saei, A. A.; Zubarev, R."
2026-03-25,13,10.1101/2024.08.05.606700,3,neuroscience,Functional organization of the primate prefrontal cortex reflects individual mnemonic strategies,"Wang, X.; Hähnke, D.; Nieder, A.; Jacob, S. N."
2026-03-26,13,10.1101/2024.09.01.610730,2,biophysics,Revealing a Correlation between Structure and in vitro Activity of mRNA Lipid Nanoparticles,"Chen, X.; Fang, J.; Ge, X.; Li, M.; Jiang, F.; Hong, L.; Liu, Z."
2026-03-25,13,10.1101/2024.09.02.610622,4,neuroscience,Spatiotemporal dynamics and substates underlie emotional signalling in facial movements,"Cuve, H. C. J.; Sowden-Carvalho, S.; Cook, J. L."
2026-03-27,13,10.1101/2024.09.21.614049,5,animal behavior and cognition,Lifetime fitness benefits of short-distance dispersal are associated with inbreeding tolerance despite multiple inbreeding avoidance mechanisms,"Shah, S.; Diamond, J.; Barve, S.; Cosgrove, E. J.; Bowman, R.; Fitzpatrick, J. W.; Chen, N."
