Published,ISOWeek,Updated,ID,Version,Title,Categories
2026-05-11T17:24:42Z,20,2026-05-11T17:24:42Z,2605.10871,1,'Attractor-Vascular Coupling Theory: Formal Grounding and Empirical Validation for AAMI-Standard Cuffless Blood Pressure Estimation from Smartphone Photoplethysmography',physics.med-ph;cs.AI;cs.LG
2026-05-11T17:20:58Z,20,2026-05-11T17:20:58Z,2605.10870,1,"'Remember the Decision, Not the Description: A Rate-Distortion Framework for Agent Memory'",cs.AI
2026-05-11T17:17:02Z,20,2026-05-11T17:17:02Z,2605.10867,1,'BEACON: A Multimodal Dataset for Learning Behavioral Fingerprints from Gameplay Data',cs.CR;cs.AI;cs.CV;cs.LG;cs.NI
2026-05-11T17:13:36Z,20,2026-05-11T17:13:36Z,2605.10865,1,"'BenchCAD: A Comprehensive, Industry-Standard Benchmark for Programmatic CAD'",cs.AI;cs.CV;cs.SE
2026-05-11T17:10:44Z,20,2026-05-11T17:10:44Z,2605.10863,1,'DGPO: Beyond Pairwise Preferences with Directional Consistent Groupwise Optimization',cs.CL
2026-05-11T17:10:35Z,20,2026-05-11T17:10:35Z,2605.10862,1,'RUBEN: Rule-Based Explanations for Retrieval-Augmented LLM Systems',cs.CL
2026-05-11T17:05:52Z,20,2026-05-11T17:05:52Z,2605.10859,1,'Masked Generative Transformer Is What You Need for Image Editing',cs.CV;cs.LG
2026-05-11T17:05:49Z,20,2026-05-11T17:05:49Z,2605.10858,1,'Is Your Driving World Model an All-Around Player?',cs.CV;cs.RO
2026-05-11T17:02:09Z,20,2026-05-11T17:02:09Z,2605.10855,1,'Learning More from Less: Exploiting Counterfactuals for Data-Efficient Chart Understanding',cs.CL
2026-05-11T17:00:51Z,20,2026-05-11T17:00:51Z,2605.10853,1,'Grounded Satirical Generation with RAG',cs.CL
2026-05-11T17:00:18Z,20,2026-05-11T17:00:18Z,2605.10851,1,'The Generalized Turing Test: A Foundation for Comparing Intelligence',cs.AI;cs.CL;cs.LG
2026-05-11T17:00:00Z,20,2026-05-11T17:00:00Z,2605.10850,1,'Verification Mirage: Mapping the Reliability Boundary of Self-Verification in Medical VQA',cs.CV
2026-05-11T16:58:57Z,20,2026-05-11T16:58:57Z,2605.10848,1,'Rethinking Agentic Search with Pi-Serini: Is Lexical Retrieval Sufficient?',cs.IR;cs.AI;cs.CL
2026-05-11T16:58:48Z,20,2026-05-11T16:58:48Z,2605.10847,1,'Conditional anomaly detection methods for patient-management alert systems',cs.LG
2026-05-11T16:56:44Z,20,2026-05-11T16:56:44Z,2605.10845,1,'BabelDOC: Better Layout-Preserving PDF Translation via Intermediate Representation',cs.CV;cs.CL
2026-05-11T16:55:16Z,20,2026-05-11T16:55:16Z,2605.10843,1,'Training-Free Cultural Alignment of Large Language Models via Persona Disagreement',cs.CL;cs.AI;cs.CY
2026-05-11T16:54:23Z,20,2026-05-11T16:54:23Z,2605.10840,1,'Clin-JEPA: A Multi-Phase Co-Training Framework for Joint-Embedding Predictive Pretraining on EHR Patient Trajectories',cs.LG;cs.AI;q-bio.QM
2026-05-11T16:50:28Z,20,2026-05-11T16:50:28Z,2605.10835,1,'Transcoda: End-to-End Zero-Shot Optical Music Recognition via Data-Centric Synthetic Training',cs.CV;cs.LG
2026-05-11T16:50:00Z,20,2026-05-11T16:50:00Z,2605.10834,1,'From Controlled to the Wild: Evaluation of Pentesting Agents for the Real-World',cs.AI;cs.CR
2026-05-11T16:49:38Z,20,2026-05-11T16:49:38Z,2605.10833,1,'MMVIAD: Multi-view Multi-task Video Understanding for Industrial Anomaly Detection',cs.CV;cs.AI
2026-05-11T16:49:36Z,20,2026-05-11T16:49:36Z,2605.10832,1,'Towards On-Policy Data Evolution for Visual-Native Multimodal Deep Search Agents',cs.CL
2026-05-11T16:47:25Z,20,2026-05-11T16:47:25Z,2605.10831,1,'SLIM: Sparse Latent Steering for Interpretable and Property-Directed LLM-Based Molecular Editing',cs.LG;cs.AI;cs.CE;cs.CL
2026-05-11T16:47:25Z,20,2026-05-11T16:47:25Z,2605.10830,1,'Predicting 3D structure by latent posterior sampling',cs.CV;cs.LG
2026-05-11T16:46:20Z,20,2026-05-11T16:46:20Z,2605.10828,1,'The First Drop of Ink: Nonlinear Impact of Misleading Information in Long-Context Reasoning',cs.AI
2026-05-11T16:42:52Z,20,2026-05-11T16:42:52Z,2605.10823,1,'NoRIN: Backbone-Adaptive Reversible Normalization for Time-Series Forecasting',cs.LG
2026-05-11T16:41:14Z,20,2026-05-11T16:41:14Z,2605.10822,1,'Benchmarking Sensor-Fault Robustness in Forecasting',cs.LG;eess.SP
2026-05-11T16:37:34Z,20,2026-05-11T16:37:34Z,2605.10821,1,'Unified Noise Steering for Efficient Human-Guided VLA Adaptation',cs.RO
2026-05-11T16:37:19Z,20,2026-05-11T16:37:19Z,2605.10820,1,'MaD Physics: Evaluating information seeking under constraints in physical environments',cs.AI;cs.LG
2026-05-11T16:37:07Z,20,2026-05-11T16:37:07Z,2605.10819,1,'ALAM: Algebraically Consistent Latent Transitions for Vision-Language-Action Models',cs.RO;cs.AI;cs.CV
2026-05-11T16:35:32Z,20,2026-05-11T16:35:32Z,2605.10818,1,'On periodic distributed representations using Fourier embeddings',cs.LG;q-bio.NC
2026-05-11T16:34:58Z,20,2026-05-11T16:34:58Z,2605.10817,1,'CLEF: EEG Foundation Model for Learning Clinical Semantics',cs.AI
2026-05-11T16:34:28Z,20,2026-05-11T16:34:28Z,2605.10816,1,'Policy Gradient Methods for Non-Markovian Reinforcement Learning',cs.LG;cs.AI
2026-05-11T16:34:18Z,20,2026-05-11T16:34:18Z,2605.10815,1,'Probing Cross-modal Information Hubs in Audio-Visual LLMs',cs.AI;eess.AS
2026-05-11T16:33:47Z,20,2026-05-11T16:33:47Z,2605.10813,1,"'NanoResearch: Co-Evolving Skills, Memory, and Policy for Personalized Research Automation'",cs.AI
2026-05-11T16:32:41Z,20,2026-05-11T16:32:41Z,2605.10811,1,'Switching-Geometry Analysis of Deflated Q-Value Iteration',math.OC;cs.AI
2026-05-11T16:32:06Z,20,2026-05-11T16:32:06Z,2605.10810,1,'Likelihood scoring for continuations of mathematical text: a self-supervised benchmark with tests for shortcut vulnerabilities',cs.LG
2026-05-11T16:32:01Z,20,2026-05-11T16:32:01Z,2605.10809,1,'Mistake-Bounded Language Generation',cs.LG;cs.DS
2026-05-11T16:31:25Z,20,2026-05-11T16:31:25Z,2605.10808,1,'Threat Modelling using Domain-Adapted Language Models: Empirical Evaluation and Insights',cs.CR;cs.AI
2026-05-11T16:31:14Z,20,2026-05-11T16:31:14Z,2605.10807,1,'LLMs for Secure Hardware Design and Related Problems: Opportunities and Challenges',cs.CR;cs.AR;cs.LG
2026-05-11T16:30:51Z,20,2026-05-11T16:30:51Z,2605.10806,1,'PhyGround: Benchmarking Physical Reasoning in Generative World Models',cs.CV;cs.AI;cs.LG
2026-05-11T16:30:20Z,20,2026-05-11T16:30:20Z,2605.10805,1,'Reasoning Is Not Free: Robust Adaptive Cost-Efficient Routing for LLM-as-a-Judge',cs.AI;cs.CL;stat.ML
2026-05-11T16:30:14Z,20,2026-05-11T16:30:14Z,2605.10804,1,'New AI-Driven Tools for Enhancing Campus Well-being: A Prevention and Intervention Approach',cs.AI;cs.CY;cs.HC
2026-05-11T16:26:50Z,20,2026-05-11T16:26:50Z,2605.10799,1,'The Last Word Often Wins: A Format Confound in Chain-of-Thought Corruption Studies',cs.LG;cs.AI;cs.CL
2026-05-11T16:26:06Z,20,2026-05-11T16:26:06Z,2605.10797,1,'Muown: Row-Norm Control for Muon Optimization',cs.LG
2026-05-11T16:24:45Z,20,2026-05-11T16:24:45Z,2605.10796,1,'Interpretable Machine Learning for Football Performance Analysis: Evidence of Limited Transferability from Elite Leagues to University Competition',cs.AI
2026-05-11T16:24:02Z,20,2026-05-11T16:24:02Z,2605.10795,1,'Factual recall in linear associative memories: sharp asymptotics and mechanistic insights',stat.ML;cond-mat.dis-nn;cond-mat.stat-mech;cs.LG
2026-05-11T16:23:28Z,20,2026-05-11T16:23:28Z,2605.10794,1,'Can You Keep a Secret? Involuntary Information Leakage in Language Model Writing',cs.CR;cs.AI
2026-05-11T16:23:10Z,20,2026-05-11T16:23:10Z,2605.10793,1,'ConQuR: Corner Aligned Activation Quantization via Optimized Rotations for LLMs',cs.LG
2026-05-11T16:22:06Z,20,2026-05-11T16:22:06Z,2605.10792,1,'Fixed-Point Neural Optimal Transport without Implicit Differentiation',math.OC;cs.LG
2026-05-11T16:21:47Z,20,2026-05-11T16:21:47Z,2605.10791,1,'PathISE: Learning Informative Path Supervision for Knowledge Graph Question Answering',cs.AI
2026-05-11T16:21:45Z,20,2026-05-11T16:21:45Z,2605.10790,1,'Elucidating Representation Degradation Problem in Diffusion Model Training',cs.LG
2026-05-11T16:21:28Z,20,2026-05-11T16:21:28Z,2605.10789,1,'Rapid Forest Fuel Load Estimation via Virtual Remote Sensing and Metric-Scale Feed-Forward 3D Reconstruction',cs.CV
2026-05-11T16:20:51Z,20,2026-05-11T16:20:51Z,2605.10787,1,"'ComplexMCP: Evaluation of LLM Agents in Dynamic, Interdependent, and Large-Scale Tool Sandbox'",cs.AI;cs.SE
2026-05-11T16:18:08Z,20,2026-05-11T16:18:08Z,2605.10784,1,'MASS-DPO: Multi-negative Active Sample Selection for Direct Policy Optimization',cs.LG
2026-05-11T16:17:13Z,20,2026-05-11T16:17:13Z,2605.10782,1,'TrajPrism: A Multi-Task Benchmark for Language-Grounded Urban Trajectory Understanding',cs.AI
2026-05-11T16:16:00Z,20,2026-05-11T16:16:00Z,2605.10781,1,'Rebellious Student: Reversing Teacher Signals for Reasoning Exploration with Self-Distilled RLVR',cs.LG;cs.CL
2026-05-11T16:14:52Z,20,2026-05-11T16:14:52Z,2605.10780,1,'Beyond the Last Layer: Multi-Layer Representation Fusion for Visual Tokenizatio',cs.CV;cs.AI
2026-05-11T16:14:04Z,20,2026-05-11T16:14:04Z,2605.10779,1,'LITMUS: Benchmarking Behavioral Jailbreaks of LLM Agents in Real OS Environments',cs.CR;cs.CL
2026-05-11T16:09:32Z,20,2026-05-11T16:09:32Z,2605.10777,1,'Locking Pretrained Weights via Deep Low-Rank Residual Distillation',cs.LG
2026-05-11T16:08:23Z,20,2026-05-11T16:08:23Z,2605.10775,1,'On the global convergence of gradient descent for wide shallow models with bounded nonlinearities',math.OC;cs.LG
2026-05-11T16:05:58Z,20,2026-05-11T16:05:58Z,2605.10772,1,'Towards a Large Language-Vision Question Answering Model for MSTAR Automatic Target Recognition',cs.CV;cs.AI;eess.IV
2026-05-11T16:02:05Z,20,2026-05-11T16:02:05Z,2605.10770,1,'DynaMiCS: Fine-tuning LLMs with Performance Constraints using Dynamic Mixtures',cs.LG
2026-05-11T16:00:26Z,20,2026-05-11T16:00:26Z,2605.10769,1,'MPerS: Dynamic MLLM MixExperts Perception-Guided Remote Sensing Scene Segmentation',cs.CV;cs.AI
2026-05-11T15:59:06Z,20,2026-05-11T15:59:06Z,2605.10765,1,'Dynamic Cross-Modal Prompt Generation for Multimodal Continual Instruction Tuning',cs.CV;cs.AI;cs.LG
2026-05-11T15:59:02Z,20,2026-05-11T15:59:02Z,2605.10764,1,"'Break the Brake, Not the Wheel: Untargeted Jailbreak via Entropy Maximization'",cs.CV;cs.AI
2026-05-11T15:58:37Z,20,2026-05-11T15:58:37Z,2605.10763,1,'MATRA: Modeling the Attack Surface of Agentic AI Systems -- OpenClaw Case Study',cs.AI;cs.CR
2026-05-11T15:57:46Z,20,2026-05-11T15:57:46Z,2605.10762,1,'GridProbe: Posterior-Probing for Adaptive Test-Time Compute in Long-Video VLMs',cs.CV;cs.AI
2026-05-11T15:57:35Z,20,2026-05-11T15:57:35Z,2605.10761,1,'RadThinking: A Dataset for Longitudinal Clinical Reasoning in Radiology',cs.CV
2026-05-11T15:57:13Z,20,2026-05-11T15:57:13Z,2605.10760,1,'MAGS-SLAM: Monocular Multi-Agent Gaussian Splatting SLAM for Geometrically and Photometrically Consistent Reconstruction',cs.RO
2026-05-11T15:56:29Z,20,2026-05-11T15:56:29Z,2605.10759,1,'Reinforce Adjoint Matching: Scaling RL Post-Training of Diffusion and Flow-Matching Models',cs.LG;cs.CV
2026-05-11T15:54:34Z,20,2026-05-11T15:54:34Z,2605.10756,1,'TINS: Test-time ID-prototype-separated Negative Semantics Learning for OOD Detection',cs.CV
