Date,ISOWeek,DOI,Version,Category,Title,Authors,Abstract
2026-03-27,13,10.1101/2025.06.01.657048,3,"scientific communication and education","Spurring and Siloing: Identity Navigation in Scientific Writing Among Asian Student Researchers","Goss, D.; Balgopal, M.; Sachdev, S.; Kim, G.; Taliaferro-Smith, L.; Fankhauser, S.",
2026-03-24,13,10.64898/2026.03.20.713226,1,"scientific communication and education","Patterns of genAI bias in guiding prospective undergraduate students: a study of UK neuroscience programmes","Potter, H. G.",
2026-03-27,13,10.64898/2026.03.25.713611,1,"scientific communication and education","AI in Practice: A Multilingual Survey of 2025 BioHackathon Participants","Sriwichai, N.; Feriau, L.; Tongyoo, P.; Noda, Y.; Gyoji, H.; Noisagul, P.; Goto, S.; Steinberg, D.; Wangsanuwat, C.",
