Date,ISOWeek,DOI,Version,Category,Title,Authors,Abstract
2026-04-07,15,10.64898/2026.04.04.716449,1,"scientific communication and education","Traditional Physical Practice Participation and Vision-Related Quality of Life in Adolescents: The Serial Mediating Roles of Exercise Self-Efficacy and Visual Function Anomalies","Zhang, X.; Liu, Z.; Long, J.",
2026-04-08,15,10.1101/2025.07.08.662297,2,"scientific communication and education","Gender imbalances of retraction prevalence among highly cited authors and among all authors","Boccia, S.; Cristiano, A.; Pezzullo, A. M.; Baas, J.; Roberge, G.; Ioannidis, J. P. A.",
2026-04-08,15,10.64898/2026.04.07.716944,1,"scientific communication and education","The power of naming: shorter and simpler species names draw more attention","Mlynarek, J.; Heard, S. B.; Mammola, S.",
2026-04-12,15,10.64898/2025.12.16.694665,3,"scientific communication and education","Science-wide mapping and ranking of institutions based on affiliated authors' impact and research integrity proxies","Ioannidis, J.; Baas, J.; Boverhof, R.; Voyant, C.",
2026-04-12,15,10.64898/2026.04.10.717672,1,"scientific communication and education","The Common Fund Data Ecosystem (CFDE)","Jurgens, J. A.; Bueckle, A.; Vora, J.; Maurya, M. R.; Mohseni Ahooyi, T.; Zheng, E.; Stear, B.; Wang, D.; Ree, C.; Ramachandran, S.; Nekrutenko, A.; Brandes, M.; Thaker, S.; Katz, D. H.; Munoz-Torres, M. C.; Diamant, I.; Chun, H.-J. E.; Simmons, J. A.; Tasian, S. K.; Jenkins, S. L.; Evangelista, J. E.; Dodia, H.; Saha, S.; Lindquist, M. A.; Gajjala, V.; Nemarich, C.; Zhen, J.; Ross, K. E.; Byrd, A. I.; Shilin, A.; Metzger, V. T.; Bologa, C. G.; Srinivasan, S.; Jang, D.; Kumar, P.; Taub, L. D.; Levanto, M. P.; Petrosyan, V.; Anandakrishnan, M.; Kim, M.; Clarke, D. J. B.; Ivich, A.; Crichton, D.",
